עד תאריך	מתאריך	קובץ תמונה	תוכן3	תוכן2	תוכן1	כותרת
ב תשרי	א תשרי		ומבואר בזוהר הקדוש שעקידת יצחק הייתה ברה, ולכן קוראים בתורה בראש השנה בפרשת עקידת יצחק, ולכן מטעם זה גם כן נוהגים ללכת לנהר לומר תשליך, להזכיר זכות אברהם ויצחק	אחר תפילת המנחה ביום הראשון של רה, נוהגים ללכת על יד שפת הים או הנהר, או באר מים חיים, או בור, לומר סדר תשליך. ומנהג זה נזכר עם טעמו בספר מנהגי מהרי מולין, עפי מה שאמרו במדרש: שכאשר הלך אברהם אבינו עם יצחק אל הר המוריה להעלותו לעולה כאשר נצטווה מפי הקבה, קדמו השטן בדרך ונעשה לפניהם כנהר גדול כדי שלא יוכלו לעבור, ואברהם ויצחק לא התייחסו לזה ונכנסו למים עד שהגיעו לצווארם, ואז התפלל אברהם להקבה ומיד גער בשטן והלך לו. 	מצות עשה מן התורה לשמוע תרועת השופר ביום ראש השנה, שנאמר יום תרועה יהיה לכם. ואסור לדבר בין התקיעות, וכל שכן בזמן התקיעות עצמם, ונחלקו הפוסקים אם יש לומר וידוי בין התקיעות, (כפי שמודפס בהרבה מחזורים) או שאסור לומר וידוי בין התקיעות, ודעת מרן הרב עובדיה יוסף שליטא, שאסור לומר וידוי בין התקיעות, ושאף מי שנהג כן, צריך לבטל מנהגו, שנכנס לחשש ברכה לבטלה, ולספק אם חייב לחזור שוב ולברך על התקיעות. ומכל מקום, אם רוצה להרהר הוידוי בליבו בלבד, רשאי לעשות כן בין התקיעות, אבל בשעת התקיעות עצמם ידום ויקשיב היטב לקול השופר.	מענייני ראש השנה
ג תשרי	ג תשרי		למחרת הגיעו למצפה עוד שמונים אנשים שהגיעו מאזור ממלכת ישראל - שכם, שילה ושומרון - כדי להקריב קרבנות בבית המקדש, ובדרך הם שמעו על החורבן. ישמעאל הכניס אותם למצפה ורצח גם אותם, מלבד עשרה שאמרו לו שיש להם מטמוני אוכל קבורים בשדה.	גדליהו בן אחיקם היה אחד מאצילי העם בתקופת חורבן בית ראשון, שמונה לפקיד מטעם מלך בבל, אך תקופת כהונתו לא האריכה ימים, והוא נרצח לאחר חודשיים. בעקבות מותו, ירדו למצרים אחרוני העם שלא הוגלו בידי הבבלים, ועל שמו נקרא צום גדליה. בחודש השביעי - כלומר, זמן קצר לאחר שמונה גדליהו, שהוצב בתפקידו רק אחרי החורבן, שהיה בחודש החמישי - הגיע ישמעאל בן נתניה למצפה יחד עם עוד עשרה אנשים. על פי רדק, היה זה בראש החודש השביעי - ראש השנה . לאחר שאכלו ושתו עם גדליהו, הם קמו ורצחו את גדליהו ואת הנמצאים במצפה, יהודים וכשדים. 	צום גדליה הוא יום שלישי בתשרי שבו נהרג גדליה בן אחיקם, ונכבית גחלת ישראל הנשארה, ומהריגתו התגלגלה גלותם. וכמו שמבואר כל זה בספר ירמיה, (פרק מ' ואילך). ובשנה שחל יום ג' בתשרי בשבת, וידוע שאסור להתענות בשבת, נדחית התענית ליום ד' בתשרי.	צום גדליה בן אחיקם
ח תשרי	ד תשרי		וכתב רבנו יוסף חיים זצל, שחייב כל אדם לבקש מחילה מאביו ואימו בערב יום הכיפורים, על כל מה שחטא להם ופגע בכבודם, ומי שאינו עושה כן נקרא חוטא, ומזלזל בכבוד אביו ואימו, שאם בין אדם לחברו חייבו חזל לבקש מחילה מחברו, כל שכן מאביו ואימו שכמעט אין אדם ניצול מחטא זה בכל יום.	עבירות שבין אדם לחברו אין יום הכיפורים מכפר עד שירצה את חברו, (שיפייס את חברו), שנאמר כי ביום הזה יכפר עליכם לטהר אתכם מכל חטאתיכם לפני ה' תטהרו. ולכן אם חטא לחברו בממון כגון שגזל ממנו או לקח ממנו ממון בריבית וכדומה, ישיב לו תחילה הממון שלקח ממנו שלא כדין, ואף על פי שהשיב לו, אינו נמחל לו עד שיפייסנו. ואפילו לא הקניט את חברו אלא בדברים, (דהיינו בדיבורים), צריך לפייסו, וכל שכן אם הכלימו והלבין פניו ברבים, שהרי הוא כשופך דמים. וכבר אמרו רבותינו: נוח לו לאדם שיפיל עצמו לכבשן האש ואל ילבין פני חברו ברבים.	אמרו רבותינו במסכת ראש השנה (יח.) על הפסוק דרשו ה' בהמצאו, אלו עשרה ימים מראש השנה ועד יום הכיפורים. וכתב הרמבם: אף על פי שהתשובה והצעקה יפה לעולם, בעשרה ימים שבין ראש השנה ליום הכפורים היא יפה ביותר, ומתקבלת היא מיד, שנאמר דרשו ה' בהמצאו. ולכן, בימים אלו מוטלת באופן מיוחד החובה והאחריות על האדם, לפשפש במעשיו, ולשוב בתשובה שלימה על מעשיו הרעים, והיינו שיתחרט על מעשיו הרעים, ויודה בהם בפיו, והיינו אמירת הוידוי, ויקבל על עצמו מכאן ולהבא שלא ישוב לחטאיו, ויעיד עליו יודע תעלומות שלא ישוב לזה החטא לעולם.	עשרת ימי תשובה
ט תשרי	ט תשרי		שאלה: האם מותר ליטול לפני תענית יום הכיפורים, קפסולה או סירופ קלי צום, הגורם לכך שהתענית עוברת ביתר קלות, או שיש להחמיר בזה? 	נהגו בכל תפוצות ישראל לעשות כפרות בערב יום הכיפורים, לשחוט תרנגולים לכל בני הבית, ונוהגים ליקח תרנגול זכר לכל אחד מבני הבית הזכרים, ותרנגולת נקבה לכל אחת מבנות הבית הנקבות. ובעת שמסובב התרנגול סביב לראש המתכפר, אומר: זה חליפתך זה תמורתך זה כפרתך, וכפי שנדפס במחזורים. וכשמסובב סביב עצמו יאמר, זה חליפתי וכו'. ניתן גם לקיים מנהג הכפרות במעות שיאמר: אלו המעות ילכו לצדקה ותכנס אתה לחיים טובים ולשלום. בערב יוהכ, נוהגים להתפלל תפילת מנחה, בעוד היום גדול, דהיינו בשעה מוקדמת, ובתפילת יח, אומר כל אחד פסוק יהיו לרצון, ואחכ אומר וידוי ועל חטא כפי שנדפס במחזורים. ואז ילך לביתו ויאכל סעודה מפסקת.	כתוב בתורה (ויקרא כג.) ועניתם את נפשתיכם בתשעה לחודש בערב דהיינו שמליל עשירי בתשרי חלה החובה להתענות תענית יום הכיפורים. והקשו רבותינו (במסכת ברכות דף ח.) על לשון הפסוק בתשעה לחודש בערב, שלכאורה היה נכון יותר לכתוב בעשירי לחודש וממילא נדע שחובה להתענות כבר מליל עשירי בתשרי, שהרי בכל דיני תורתינו, היום הולך אחר הלילה שלפניו. ותירצו רבותינו שהטעם שנכתב בפסוק בתשיעי לחודש בערב בא ללמדינו שכל האוכל ושותה בתשיעי, מעלה עליו הכתוב כאילו התענה תשיעי ועשירי. וראוי למעט במלאכה בערב יוהכ, כדי שיוכל להרבות באכילה ושתיה, וכל העושה מלאכה בערב יוהכ אינו רואה סימן ברכה לעולם מאותה מלאכה.	ערב יום הכיפורים
י תשרי	י תשרי		צריך להוסיף מחול על הקודש במוצאי יוהכ, ולכן אסור לאכול או לעשות מלאכה במוצאי יוהכ מיד עם צאת הכוכבים, אלא יש להמתין מעט, וראוי לכל אדם להחמיר על עצמו שלא לאכול ולא לעשות מלאכה במוצאי יוהכ, עד שיעברו שעה וחומש (72 דקות) מזמן שקיעת החמה, כדעת רת. ומכל מקום, אדם חולה וכן נשים מעוברות ומניקות המצטערים הרבה מן התענית, רשאים להקל לטעום מעט זמן אחר צאת הכוכבים. צריך להבדיל על הכוס במוצאי יוהכ. ואין מברכים על הבשמים בהבדלה, וצריך לברך בורא מאורי האש על נר ששבת (נר הדולק מערב יוהכ). המדקדקים במצוות מתחילים במוצאי יוהכ בבניית הסוכה, כדי לצאת ממצווה למצווה, ועל כגון זה נאמר: ילכו מחיל אל חיל.	מי שהוצרך לאכול ביום הכיפורים מחמת מחלה, אם הוא מוכרח לאכול ולשתות כדרכו ממש, הרי שהוא רשאי לעשות כן. שאין לך דבר העומד בפני פיקוח נפש. אולם בדרך כלל, אין הדבר כן, אלא הוא יכול להסתפק באכילה ושתיה באופן שאינו אוכל או שותה בבת אחת כמות גדולה, אלא יעשה הפסקות בין אכילה לאכילה, ובכל פעם לא יאכל יותר משיעור של כשלושים גרם מאכל, או ארבעים גרם משקה. ולאחר כעשר דקות יאכל או ישתה שוב כמות זהה. ולפני יום הכיפורים יכין לעצמו מאכלים מסודרים ושקולים בשיעור של כשלושים גרם. ויכין לעצמו כלי המכיל כארבעים גרם משקה, ובכל פעם ימלא אותו וישתה ממנו (כמו בקבוק של תינוקות וכדומה).	ננוהגים להתעטף בטלית קודם שקיעת החמה (כדי שיוכל לברך עליה), ומתפללים כל תפילות יום הכיפורים בטלית, כדי שיתפלל עמו בכוונה. הכל חייבים להתענות ביום הכיפורים, ובכלל החיוב גם נשים מעוברות ומניקות שחייבות להתענות בו. וכל אשה שיש חשש לבריאותה מחמת התענית, תעשה שאלת חכם הבקיא בדינים אלו, שיורה לה אם תתענה. אסור לרחוץ במים ביום הכיפורים, ואפילו להושיט אצבעו במים אסור, ולא אסרו אלא רחיצה של תענוג, אבל אם היו ידיו או שאר גופו מלוכלכים בטיט וכדומה, מותר לרחצם, כיון שאינה רחיצה של תענוג. ביוהכ בשחרית יטול ידיו עד סוף קשרי אצבעותיו בלבד, ויטול שלוש פעמים לסירוגין כדרכו בכל ימות השנה, ומברך על נטילת ידיים. 	מדיני יום הכיפורים
"י""ד תשרי"	"י""א תשרי"	sukot.jpg	יש לעשות את הסיכוך באופן קל, שהכוכבים הגדולים נראים דרכו, ומכל מקום בדיעבד אפילו אם אין הכוכבים נראים דרכו, כשירה. אבל אם עשה את הסכך עבה כל כך עד שאפילו הגשמים אינם חודרים דרכו, יש לחוש לפסול סוכה זו. ויש להזהר שלא לעשות את הסוכה תחת מרפסת אחרת או תקרה, שסוכה כזו פסולה מן הדין.	ומחצלת של קש, שמן הסתם עשוייה לשכיבה, פסולה לסיכוך, שהרי היא ראויה לקבל טומאה, אבל מחצלת של קנים שעשויה לשם סכך, כשרה לסכך בה ללא חשש. הקישוטים שנוהגים לתלות תחת סכך הסוכה, בכדי ליפות את הסוכה, הרי הם עלולים לפסול את הסוכה מפני שהם אינם סכך כשר, ולכן כתב מרן הרב עובדיה יוסף שליטא, שצריך לתלות את קישוטי הסוכה שתחת הסכך, באופן שיהיו צמודים לסכך ותלויים בתוך ארבעה טפחים לסכך (שהם 32 סמ), ולא יהיו יורדים מן הסכך שיעור ארבעה טפחים שאז יש חשש פן יפסלו את הסוכה כאמור. אבל כשהם בתוך ארבעה טפחים, בטלים הם לגבי הסכך ואין כל חשש שיפסלו את הסוכה, אפילו אם הם גדולים מאוד.	הסוכה צריכה להיעשות משלוש דפנות וסכך, ואת הדפנות ניתן לעשות מכל דבר העומד בפני רוח, למעט סדינים וכדומה שאינם כשרים לדפנות. אם עושים את הדפנות מברזל או פלסטיק וכיוצא בזה מדברים שאין גידולם מן הארץ, אין להניח על גביהן את הסכך, אלא בהפסק של נסרים של עץ וכדומה, שהוא דבר הגדל מן הארץ ואינו מקבל טומאה. הסכך צריך שיהיה מדבר הגדל מן הארץ, כגון נסרים של עץ וענפי אילנות וכדומה. וצריך שיהיה הסכך תלוש מן הקרקע, למעט אילן המחובר לקרקע שאין לסכך בו. וכן צריך שיהיה הסכך מדבר שאינו מקבל טומאה, למעט מיני אוכלים או כלי עץ, כגון ארגז או תיבה של עץ. מפני שכל אלו הם ראויים לקבל טומאה.  המשך --->	הלכות בניית סוכה
"י""ז תשרי"	"ט""ו תשרי"	sukot.jpg	נאמר בתורה בסוכות תשבו שבעת ימים, ודרשו רבותינו תשבו כעין תדורו, כלומר, שלא חייבה התורה לאכול בסוכה אלא כדרך שאדם עושה בביתו, ולפיכך אם ירדו גשמים בסוכה או שכבה האור בסוכה ויש שם חושך, או שיש בסוכה זבובים ויתושים המטרידים את האדם, או שנושבת שם רוח, או שיש שם ריח רע וכדומה, פטור מלאכול בסוכה, שכל המצטער מן הסוכה פטור מלשבת בה. ולדעת רבינו הרמבם ועוד רבים מרבותינו הראשונים, כלל זה שייך אפילו בלילה הראשון של חג הסוכות, ואף על פי שאז יש מצות עשה מן התורה לאכול כזית פת בסוכה, מכל מקום המצטער פטור מן הסוכה. ומרן השולחן ערוך פסק להקל בזה כדעת הרמבם, אף בלילה הראשון של החג.	כאשר אוכל בסוכה אכילה שצריך לברך עליה ברכת לישב בסוכה, לכתחילה הנכון יותר הוא, שיברך לישב בסוכה לפני שמתיישב לאכול, ולאחר הברכה יישב ויברך על מה שאוכל ויאכל לשובע נפשו.	מצות עשה מן התורה לאכול כזית פת בלילה הראשון של חג הסוכות בסוכה. וצריך לכוין קודם אכילתו שהוא יושב בסוכה זכר ליציאת מצרים, ושהוא בא לקיים מצות עשה באכילתו.	דיני חג הסוכות
"י""ט תשרי"	"י""ח תשרי"	sukot.jpg	אמרו בגמרא (סוכה מב.) ילד קטן היודע לנענע לולב, חייב אביו לחנכו במצות לולב. וכתב מרן הרב עובדיה יוסף שליטא, שאם יד האב משגת, חייב גם לקנות לו לולב בפני עצמו, ולא יסתפק במה שנותן לבנו לנענע בלולב שלו, שהרי אם יעשה כן, בשעת ההקפות יישאר בנו בלא לולב, שהרי האב צריך ליטול את הלולב בזמן ההקפות, ולכן יקנה לבנו ארבעת המינים בכדי לחנכו למצוה  יקרה זו גם בזמן ההקפות. כתב רבינו יוסף חיים זצל, אדם חולה, שאינו יכול לבוא לבית הכנסת להקיף עם הציבור, יניח כסא או שולחן באמצע החדר, ויניח עליו ספר תנך קדוש או חמישה חומשי תורה, ויקיף, כדי שלא יתבטל מן ההקפות. 	אחרי אמירת ההלל, מוציאים ספר תורה מן ההיכל, ומניחים אותו על התיבה, וכל הקהל מקיפים את התיבה עם הלולב ומיניו. וכמו שאמרו במדרש (ילקוש תהילים סס תשג): ארחץ בניקיון כפי ואסובבה את מזבחך ה', כמו ששנינו, בכל יום היו מקיפים את המזבח, וכיצד הוא סדר ההקפה? כל ישראל נוטלים את לולביהם בידיהם הימנית, ואתרוגיהם בידיהם השמאלית ומקיפים. ובזמן הזה, חזן בית הכנסת עומד כמלאך האלוקים וספר תורה בזרועו והעם מקיפין אותו דוגמת הקפת המזבח. 	בימי חג הסוכות, אחר החזרה של תפילת שחרית, נוטלים את הלולב ביד ימין כשהוא אגוד (קשור) עם ההדסים והערבות, ומברכים אשר קדשנו במצוותיו וצוונו על נטילת לולב, וביום הראשון של חג הסוכות מברכים גם ברכת שהחיינו, ואחר כך נוטל בידו השמאלית גם את האתרוג צמוד ללולב. ויש לנענע הלולב ומיניו לארבע רוחות העולם ומעלה ומטה, מוליך ומביא מעלה ומוריד, כפי שנוהגים. (ראה בסידור: סדר הנענועים לדעת הארי - 3 פעמים לכל צד: דרום, צפון, מזרח, למעלה, למטה ומסיים בצד מערב). וביום השבת אסור לטלטל את הלולב ומיניו משום שהם מוקצה, שאין נוטלים לולב ביום השבת, וגם אין אומרים כלל את סדר ההקפות בשבת.	מענייני נטילת ארבעת המינים והקפות
"כ""א תשרי"	כ תשרי	sukot.jpg	כתב רבינו יוסף חיים, בעל ספר בן איש חי, (בספרו סוד ישרים), שהנשים, גם כן יכולות להישאר ערות כל ליל הושענא רבה, כי תיקון ליל הושענא רבה שייך גם אליהן, כדין הגברים. (בשונה מליל שבועות, שאל להן להישאר ערות). וכל אשה תעשה כחכמתה, שלא תתבטל מחמת הנהגה טובה זו, מהדבר העיקרי, והוא ההכנות לכבוד חג שמחת תורה. נוהגים ביום הושענא רבה אחר תפילת מוסף, לקחת חמישה בדי ערבה, ולחבטן בקרקע חמש פעמים. לקיים מנהג נביאים שנהגו כן. ומי שאין לו אלא שלושה בדי ערבה, יוכל לצרף אליהן את שני בדי הערבה הקשורים עם הלולב, לאחר שיתיר אותן מהלולב, ויחברם אל שלושת הערבות שבידו.	כתב הפלא יועץ (הרב אלעזר פאפו זצוקל) בספרו יעלזו חסידים, שישנו לילה אחד והוא ליל הושענא רבה, שבו הנשמות יוצאות מן הקברות ומבקשות רחמים מלפני הקבה שלא יגזור מיתה על החיים, וכן גם על אותם שנגזר עליהם מיתה מבקשות שישובו מדרכם הרעה ושימותו בחולי קל, וכן על כל עניין של חיים ושל מתים ועל עצמן למהר לסור דין מעליהם ומעל אחרים. ומה טוב שיתפללו גם כן החיים בבית הכנסת באותו פרק זמן, שבהיות מתפללים אלה נוכח אלה, אלה מפה ואלה מפה תפילתם תעשה פירות - עד כאן דבריו. ונהגו ישראל לברך ביום זה איש את רעהו בברכת פתקא טבא (פתק טוב), שיום זה הוא יום חיתום הדין ומסירת הפתקים הן לטובה והן לרעה חו.	יום השביעי של חג הסוכות, נקרא יום הושענא רבה, ומרבים בו בלימוד התורה ובתפילה. ובו מקיפים את התיבה שבע פעמים, ומרבים בסליחות ובתחנונים, ומתפללים בו לגשמי ברכה, לפי שבחג הסוכות נדונים על המים (ראש השנה דף טז). אולם מאחר ומדובר ביום חג, לכן אסור לומר ויעבור ה' על פניו כפי שאומרים בימים הנוראים. וכן כשהחזן אומר רחמנא, לא עונים לו בדיל ויעבור, אלא עונים אמן בלבד. (כן הורה מרן החידא. ספר חזון עובדיה על סוכות עמוד תלז). וביום זה נחתם דינו של האדם, ובליל יום שמחת תורה נמסר דינו באופן מוחלט. 	מדיני ומנהגי יום הושענא רבה
"כ""ב תשרי"	"כ""ב תשרי"	st.jpg	מתחילין לומר משיב הרוח ומוריד הגשם בתפילת מוסף של שמחת תורה, והזכרה זו אינה שאלה ובקשה על הגשם, אלא היא שבח להשם יתברך, ולכן הזכרה זו נקראת גבורות גשמים, אבל שאלת טל ומטר שבברכת השנים, היא בקשה מהשם יתברך על הגשם, וישנם כמה הבדלים בהלכה בין הזכרת גבורות גשמים שבברכת אתה גבור, לבין שאלת טל ומטר שבברכת השנים, והשינוי הראשון הוא, שמזכירין גבורות גשמים כבר מתפילת מוסף של שמחת תורה, ואילו שאלת גשמים אינה אלא מליל שבעה במרחשון (ז' במרחשון). מי שטעה במוסף או במנחה של שמחת תורה ולא הזכיר משיב הרוח ומוריד הגשם, אלא רק מוריד הטל, כדרכו בכל ימות הקיץ - אינו חוזר.	יש מקומות שנוהגים שכאשר יש ציבור גדול בבית הכנסת, וכולם רוצים לזכות לעלות לספר תורה ביום שמחת תורה, שמוציאים ספר תורה נוסף, ומלווים אותו יותר מעשרה אנשים מן הקהל לחדר אחר הסמוך לבית הכנסת, שיש שם תיבה, ועומד שם שליח ציבור נוסף, וקורא בתורה בפרשת וזאת הברכה, לכל אחד מן הקהל שבאו עם הספר תורה, (מלבד הקריאה בבית הכנסת), ומיד כשמסיימים הקריאה בספר תורה בחדר הסמוך לבית הכנסת מחזירים הספרי תורה להיכל של בית הכנסת. וזאת כדי לחסוך זמן, למנוע טורח ציבור, ולסיים במהרה את קריאת כל העולים לספר תורה. ומותר לטלטל הספר תורה לחדר האחר לצורך קריאה זו. [חזון עובדיה סוכות].	אחר התפילה מנהג ישראל להקיף שבע הקפות את התיבה, כשספר תורה מונח עליה, ובספרי תורה בידיהם. וכן נוהגים ביום שמחת תורה אחר התפילות. וששים ושמחים בשירות ותשבחות בשמחת התורה, בריקודים ובמחיאות כפים, ואפילו אם חל בשבת מותר. ואף על פי ששנינו במשנה (ביצה לו:) אין מרקדים ולא מטפחים (כף אל כף במחיאות כפים) ביום טוב קל וחומר בשבת, ואמרו בגמרא שם, שהוא משום גזרה שמא יתקן כלי שיר, אף על פי כן ביום שמחת תורה התירו חכמים ריקוד ומחיאות כפים לכבוד התורה - ומצוה נמי איכא. 	מענייני שמחת תורה – שמיני עצרת
